movement_id,startX,startY,endX,endY,deltaX,deltaY,distance,duration,velocity
1,173,13,342,94,169,81,187.409,0.001,192800.791
2,342,94,386,112,44,18,47.539,0.0,0
3,386,112,423,126,37,14,39.56,0.0,0
4,423,126,457,140,34,14,36.77,0.0,0
5,457,140,571,191,114,51,124.888,0.001,121479.134
6,571,191,672,249,101,58,116.469,0.0,0
7,672,249,674,250,2,1,2.236,0.0,0
8,674,250,675,252,1,2,2.236,0.0,0
9,675,252,676,254,1,2,2.236,0.0,0
10,676,254,678,256,2,2,2.828,0.0,0
11,678,256,684,262,6,6,8.485,0.0,0
12,684,262,694,270,10,8,12.806,0.0,0
13,694,270,701,276,7,6,9.22,0.0,0
14,701,276,709,282,8,6,10.0,0.0,0
15,709,282,711,282,2,0,2.0,0.0,0
16,711,282,718,288,7,6,9.22,0.0,0
17,718,288,732,299,14,11,17.804,0.0,0
18,732,299,738,303,6,4,7.211,0.0,0
19,738,303,738,303,0,0,0.0,0.0,0
20,738,303,741,306,3,3,4.243,0.0,0
21,741,306,746,312,5,6,7.81,0.0,0
22,746,312,748,317,2,5,5.385,0.0,0
23,748,317,751,319,3,2,3.606,0.0,0
24,751,319,751,320,0,1,1.0,0.0,0
25,751,320,752,321,1,1,1.414,0.0,0
26,752,321,752,322,0,1,1.0,0.0,0
27,752,322,753,324,1,2,2.236,0.0,0
28,753,324,753,325,0,1,1.0,0.0,0
29,753,325,754,329,1,4,4.123,0.0,0
30,754,329,755,332,1,3,3.162,0.0,0
31,755,332,758,336,3,4,5.0,0.0,0
32,758,336,758,338,0,2,2.0,0.0,0
33,758,338,759,343,1,5,5.099,0.0,0
34,759,343,762,352,3,9,9.487,0.0,0
35,762,352,769,357,7,5,8.602,0.0,0
36,769,357,770,358,1,1,1.414,0.001,1418.714
37,770,358,770,358,0,0,0.0,0.0,0
38,770,358,770,358,0,0,0.0,0.0,0
39,770,358,770,359,0,1,1.0,0.0,0
40,770,359,770,358,0,-1,1.0,0.0,0
41,770,358,770,360,0,2,2.0,0.0,0
42,770,360,770,361,0,1,1.0,0.0,0
43,770,361,770,365,0,4,4.0,0.0,0
44,770,365,770,370,0,5,5.0,0.0,0
45,770,370,770,372,0,2,2.0,0.0,0
46,770,372,770,376,0,4,4.0,0.0,0
47,770,376,770,377,0,1,1.0,0.0,0
48,770,377,770,378,0,1,1.0,0.0,0
49,770,378,770,379,0,1,1.0,0.0,0
50,770,379,770,380,0,1,1.0,0.0,0
51,770,380,770,381,0,1,1.0,0.0,0
52,770,381,770,382,0,1,1.0,0.0,0
53,770,382,770,384,0,2,2.0,0.0,0
54,770,384,770,387,0,3,3.0,0.0,0
55,770,387,770,388,0,1,1.0,0.0,0
56,770,388,770,390,0,2,2.0,0.0,0
57,770,390,770,396,0,6,6.0,0.0,0
58,770,396,770,401,0,5,5.0,0.0,0
59,770,401,770,412,0,11,11.0,0.0,0
60,770,412,770,418,0,6,6.0,0.0,0
61,770,418,770,420,0,2,2.0,0.0,0
62,770,420,770,422,0,2,2.0,0.0,0
63,770,422,770,424,0,2,2.0,0.0,0
64,770,424,770,423,0,-1,1.0,0.0,0
65,770,423,770,422,0,-1,1.0,0.0,0
66,770,422,769,419,-1,-3,3.162,0.0,0
67,769,419,761,401,-8,-18,19.698,0.0,0
68,761,401,749,372,-12,-29,31.385,0.0,0
69,749,372,741,350,-8,-22,23.409,0.0,0
70,741,350,737,343,-4,-7,8.062,0.0,0
71,737,343,734,340,-3,-3,4.243,0.0,0
72,734,340,734,341,0,1,1.0,0.0,0
73,734,341,734,343,0,2,2.0,0.0,0
74,734,343,734,344,0,1,1.0,0.0,0
75,734,344,734,348,0,4,4.0,0.0,0
76,734,348,734,356,0,8,8.0,0.0,0
77,734,356,734,367,0,11,11.0,0.0,0
78,734,367,735,390,1,23,23.022,0.0,0
79,735,390,738,405,3,15,15.297,0.0,0
80,738,405,742,419,4,14,14.56,0.001,14690.88
81,742,419,745,428,3,9,9.487,0.0,0
82,745,428,746,430,1,2,2.236,0.0,0
83,746,430,746,433,0,3,3.0,0.0,0
84,746,433,747,433,1,0,1.0,0.0,0
85,747,433,747,436,0,3,3.0,0.0,0
86,747,436,748,440,1,4,4.123,0.0,0
87,748,440,749,440,1,0,1.0,0.0,0
88,749,440,749,442,0,2,2.0,0.0,0
89,749,442,752,449,3,7,7.616,0.0,0
90,752,449,754,458,2,9,9.22,0.0,0
91,754,458,758,464,4,6,7.211,0.0,0
92,758,464,760,466,2,2,2.828,0.0,0
93,760,466,760,467,0,1,1.0,0.0,0
94,760,467,760,468,0,1,1.0,0.0,0
95,760,468,760,468,0,0,0.0,0.0,0
96,760,468,762,472,2,4,4.472,0.0,0
97,762,472,762,475,0,3,3.0,0.0,0
98,762,475,762,476,0,1,1.0,0.0,0
